,Patent's id,WWW_link,Title,Abstract,Publication_date,Owner,Inventors,Image_link,Similarity,patentBERT,BERT,Roberta
0,US20070179885A1,https://patents.google.com/patent/US20070179885A1/en,METHOD AND SYSTEM FOR AUTHORIZING A FUNDS TRANSFER OR PAYMENT USING A PHONE NUMBER,"A system and method for phone authorized transfers and/or payments are described. The system generates and authorizes instructions for funds transfers and payments between sender and recipient of participating institutions. The participating institutions of the sender and recipient of the funds transfer/payment may be the same or different, and may be located within the same or different countries. The system and method generates and authorizes funds transfer/payment instructions using the phone number of the recipient as identifying information and without providing banking particulars of the recipient. In some embodiments, the system implements an interactive voice response (IVR) application allowing a user to interact with the system using voice prompts responsive to the user's spoken response in the telephone receiver or the user input on the keypad of the user's touch-tone wired or wireless telephone. In some embodiments, the phone number of either or both of the sender and recipient may be shared among multiple users.",2007-08-02,CPNI Inc.,"Terrence Patrick Bird, Biswajit Nayak, Siraj Berhan",https://api.projectpq.ai/patents/US20070179885A1/thumbnails/1,69.59,22.36,86.81,53.43
1,US8751379B1,https://patents.google.com/patent/US8751379B1/en,Mobile money transfers,"Methods and systems are disclosed for conducting person-to-person money transfers over a handheld mobile device using any suitable text messaging service. In one implementation, the money transfer may involve a payer providing a payee's phone number and the amount to be transferred via a text message to the payer's financial institution or via the financial institution's Web site. The financial institution may then send a text message to the phone number of the payee that includes a payment ID, a hyperlink to the Web site of the payer's financial institution, and the payer's name. The payee may thereafter access the financial institution's Web site using the payment ID and enter his/her bank and account information. The financial institution may then transfer the specified amount from the payer's account to the payee's account and send a confirmation message to the payer that the transfer has been completed.",2014-06-10,United Services Automobile Association (USAA),"Michael P. Bueche, Jr.",https://api.projectpq.ai/patents/US8751379B1/thumbnails/1,66.88,25.62,87.02,54.8
2,US20190251543A1,https://patents.google.com/patent/US20190251543A1/en,SYSTEM AND METHOD FOR FACILITATING ELECTRONIC FINANCIAL TRANSACTIONS DURING A PHONE CALL,"A payment button on a device capable of making telephone calls, such as a mobile phone, allows a payer to electronically transfer money while in a phone call with a payee. The payment button also allows a payee to initiate an electronic payment transaction while in a phone call with a payer. The payment button may be a clickable or tappable virtual button presented on a display of the phone when being used to make or receive a call. The payer or the payee can simply enter a payment amount on the phone to complete an electronic payment transaction. A notification of payment is instantly transmitted to the phones being used for the phone call, so that the parties can safely and conveniently conclude a purchase and/or payment transaction during one phone call.",2019-08-15,"PAYPAL, INC.","Saumil Ashvin Gandhi, Ray Hideki Tanaka",https://api.projectpq.ai/patents/US20190251543A1/thumbnails/1,66.06,51.84,90.09,48.8
3,US20110196783A1,https://patents.google.com/patent/US20110196783A1/en,WIRELESS PAYMENT PLATFORM AND MOBILE RESELLER SYSTEM,"The present invention is directed to a wireless payment platform that may offer a payment mechanism for users with a mobile device and may allow users to exchange virtual currency for payment. The wireless payment platform may utilize the convenience and adaptability of the mobile device of the users. Such a payment mechanism may offer more security to transactions by adding a transaction confirmation facility using conventional communications technologies, such as the Short Message Service or SMS, Interactive Voice Response (IVR) technology, and the like. Financial transactions may be conducted on a person-to-person basis where each user may be identified by a unique identifier such as a telephone number, caller ID, and the like.",2011-08-11,Assignee N/A,Gad Liwerant,https://api.projectpq.ai/patents/US20110196783A1/thumbnails/1,61.61,62.25,87.38,48.16
4,US10510066B2,https://patents.google.com/patent/US10510066B2/en,ATM replacement using two mobile devices,"A system, method, and program product for exchanging physical, virtual or fiat currency between two individuals at the same geographic location using account information stored on a server database. The payer activates payer mobile device using biometric identification, then inputs the amount to transfer along with a payee security code, then payer presses “send.” The payee activates payee mobile device using a biometric identification, then payee inputs the amount to receive along with a payer security code then payee presses “send”. Both the payer and the payee mobile devices simultaneously receive from the server an alphanumeric transaction code along with the amount. Transaction code and amount are displayed on the respective mobile screens. When payee verifies that both mobile devices display the same transaction code and dollar amount, then the payee presses “I Agree” key on payee mobile device. Then the funds are exchanged at the server database. Payer and payee may also exchange corresponding cash.",2019-12-17,Assignee N/A,Robert R. Lovett,https://api.projectpq.ai/patents/US10510066B2/thumbnails/1,60.36,33.71,85.78,54.11
5,US20190340599A1,https://patents.google.com/patent/US20190340599A1/en,ATM REPLACMENT USING TWO MOBILE DEVICES,"A system, method, and program product for exchanging physical, virtual or fiat currency between two individuals at the same geographic location using account information stored on a server database. The payer activates payer mobile device using biometric identification, then inputs the amount to transfer along with a payee security code, then payer presses “send.” The payee activates payee mobile device using a biometric identification, then payee inputs the amount to receive along with a payer security code then payee presses “send”. Both the payer and the payee mobile devices simultaneously receive from the server an alphanumeric transaction code along with the amount. Transaction code and amount are displayed on the respective mobile screens. When payee verifies that both mobile devices display the same transaction code and dollar amount, then the payee presses “I Agree” key on payee mobile device. Then the funds are exchanged at the server database. Payer and payee may also exchange corresponding cash.",2019-11-07,Assignee N/A,Robert R. Lovett,https://api.projectpq.ai/patents/US20190340599A1/thumbnails/1,60.35,49.28,85.78,50.99
6,US20110196787A1,https://patents.google.com/patent/US20110196787A1/en,System And Method Of Transferring Money To An Electronic Wallet,"A method of transferring value to an electronic wallet includes obtaining a first telephone number from a user, the first telephone number being associated with a mobile telephone of the user; obtaining a PIN from the user, the PIN being associated with a prepaid money transfer card, the prepaid money transfer card having a value associated therewith; obtaining a second telephone number from the user, the second telephone number being associated with a mobile telephone of an intended recipient of at least some of the value associated with the prepaid money transfer card; and transferring the at least some of the value associated with the prepaid money transfer card with an electronic wallet associated with the second telephone number.",2011-08-11,IDT CORPORATION,"Liore Z. Alroy, Pierre Beaufils",https://api.projectpq.ai/patents/US20110196787A1/thumbnails/1,59.68,26.9,78.32,46.16
7,US20200151688A1,https://patents.google.com/patent/US20200151688A1/en,PAYMENT VIA MESSAGING APPLICATION,"Technology is disclosed for a convenient money transfer without requiring any account login and/or creation activities. The disclosed technology enables a sender to transfer a specified amount of currency to one or more recipients through a payment application while executing an instant message application. The payment application can act as a background process associated with or incorporated in the instant message application, so as to provide the user with a “seamless” user experience. In response to detection of a specified identifier, the technology can provide a user interface to collect a numerical value corresponding to the specified amount of currency, access a list of contacts in a database of the sender's mobile device, and provide the list of contacts to the sender. The technology enables the sender to manually select recipients from the provided list of contacts and can accordingly initiate a payment process based on statuses of selected recipients.",2020-05-14,Assignee N/A,Brian Grassadonia,https://api.projectpq.ai/patents/US20200151688A1/thumbnails/1,59.64,20.17,88.93,50.51
8,US9595031B1,https://patents.google.com/patent/US9595031B1/en,Payment via a messaging application,"Technology is disclosed for a convenient money transfer without requiring any account login and/or creation activities. The disclosed technology enables a sender to transfer a specified amount of currency to one or more recipients through a payment application while executing an instant message application. The disclosed technology enables the payment application to act as a background process associated with or incorporated in the instant message application, so as to provide the user with a “seamless” user experience. In response to detection of a specified identifier, the technology provides a user interface to collect a numerical value corresponding to the specified amount of currency, accesses a list of contacts in a database of the sender's mobile device, and then provides the list of contacts to the sender. The technology enables the sender to manually select recipients from the provided list of contacts and can accordingly initiate a payment process based on statuses of selected recipients.",2017-03-14,"Square, Inc.",Brian Grassadonia,https://api.projectpq.ai/patents/US9595031B1/thumbnails/1,59.35,34.2,87.86,52.99
9,US6206283B1,https://patents.google.com/patent/US6206283B1/en,Method and apparatus for transferring money via a telephone call,""" An individual transfers money from a cash card (or the account that the cash card is tied to) by making a wireless phone call to another individual. A combination of a MONDEX style card with the individual phone cards are used for this purpose. This electronic cash (""""ecash"""") ecash/phone card is inserted into the phone to activate it for billing use and serves as the basis for a cash transaction. For example, person A makes a telephone call to person B and dials a suffix after the number to indicate the transaction and the amount. For example, one could transfer money to another card or account holder from one's card by dialing their number followed by CASH#200# to transfer 200 dollars to the other account. The card is then capable of being used as a cash card to make purchases or as a phone card to make calls. A database links the identity of the caller to the cash account and the transaction appears as part of a bank statement or as part of a wireless phone bill. A user could use his wireless phone to dial an account number and transfer money by entering the amount via DTMF or by speaking the amount to an ASR application connected to the database. A user could also use the phone to make purchases via the card by just dialing a number and having an anonymous purchase made of the item. Since the user would be identified by the wireless network, the user would not have to enter any additional information about identification or credit card. The number that the user dialed could then debit the user's card directly and the item could be delivered without any need for the user to enter more information. """,2001-03-27,AT&T Corp.,"Pradeep K. Bansal, Lee Begeja, Edward Chapman Durkee, Jeffrey Joseph Farah, Rajesh Kapadia, John Gerow Ramage, Benjamin J. Stern",https://api.projectpq.ai/patents/US6206283B1/thumbnails/1,57.86,56.53,91.88,54.35
